103,3,2023-12-12,2020-12-13
102,3,2011-09-13,2020-12-13
102,5,2019-12-13,2023-12-23
103,5,2019-12-13,2023-12-23
103,5,2020-02-12,2023-12-23
103,2,2021-07-01,2023-12-23
105,1,2021-04-23,2023-12-23
104,2,2020-12-16,2023-02-17
102,4,2021-12-27,2023-08-28
105,1,2023-09-16,2023-08-08
102,3,2022-07-25,2023-05-30
103,1,2021-08-21,2023-02-21
104,2,2023-06-05,2021-07-28
105,2,2022-01-01,2023-11-24
104,5,2022-08-16,2022-12-01
102,4,2022-09-10,2023-07-01
104,4,2023-10-23,2022-04-17
104,1,2023-07-24,2021-05-26
104,2,2022-04-08,2021-08-28
101,3,2021-11-23,2022-06-11
